sku_id,warehouse_id,cod_share,cod_rto_rate,cod_success_rate,cod_risk_bucket,cod_policy_action,financial_risk_flag
SKU0001,east,0.49974858128008043,0.4152652005174644,0.5847347994825356,HIGH,DISABLE_COD,True
SKU0001,north,0.48774067388688325,0.38519660755589824,0.6148033924441018,HIGH,DISABLE_COD,True
SKU0001,south,0.4719750195160031,0.3481640754217665,0.6518359245782335,HIGH,DISABLE_COD,True
SKU0001,west,0.4645993413830955,0.31935420358338257,0.6806457964166175,HIGH,DISABLE_COD,True
SKU0002,east,0.49992387332521315,0.412669407644282,0.5873305923557179,HIGH,DISABLE_COD,True
SKU0002,north,0.49129114733141577,0.38981948284273865,0.6101805171572614,HIGH,DISABLE_COD,True
SKU0002,south,0.47071978795659736,0.3454161534400845,0.6545838465599155,HIGH,DISABLE_COD,True
SKU0002,west,0.46194430874450415,0.3153553299492386,0.6846446700507614,HIGH,DISABLE_COD,True
SKU0003,east,0.5028043049871154,0.41754597527886644,0.5824540247211336,HIGH,DISABLE_COD,True
SKU0003,north,0.4902007270428323,0.38304046429147187,0.6169595357085281,HIGH,DISABLE_COD,True
SKU0003,south,0.46661136457901287,0.3431111111111111,0.6568888888888889,HIGH,DISABLE_COD,True
SKU0003,west,0.4635406511990641,0.31440588853838064,0.6855941114616193,HIGH,DISABLE_COD,True
SKU0004,east,0.5015316663104652,0.4160511363636364,0.5839488636363637,HIGH,DISABLE_COD,True
SKU0004,north,0.4904854659874138,0.38842217809683827,0.6115778219031618,HIGH,DISABLE_COD,True
SKU0004,south,0.47026684614775516,0.34568109109277656,0.6543189089072234,HIGH,DISABLE_COD,True
SKU0004,west,0.46490017480909007,0.31407084900059373,0.6859291509994063,HIGH,DISABLE_COD,True
SKU0005,east,0.5003035822707954,0.41125606796116504,0.588743932038835,HIGH,DISABLE_COD,True
SKU0005,north,0.48989260897030956,0.39200515796260477,0.6079948420373953,HIGH,DISABLE_COD,True
SKU0005,south,0.4680833471142715,0.34675852322911144,0.6532414767708885,HIGH,DISABLE_COD,True
SKU0005,west,0.4607478465152702,0.3159124707881878,0.6840875292118123,HIGH,DISABLE_COD,True
