sku_id,warehouse_id,on_hand,p50,p90,demand_uncertainty,lead_time_weeks,lead_time_demand,safety_stock,reorder_point,recommended_reorder_qty,MOQ,demand_trend,run_date
SKU0022,south,101,134.1679888045336,207.89094372182345,73.72295491728985,3,402.5039664136008,221.16886475186956,623.6728311654704,522.6728311654704,200,DOWN,2025-12-26
SKU0022,south,101,139.916160910113,207.0985615132118,67.18240060309878,3,419.748482730339,201.54720180929635,621.2956845396353,520.2956845396353,200,DOWN,2025-12-26
SKU0022,south,101,135.96646280565977,202.52600556124364,66.55954275558386,3,407.8993884169793,199.6786282667516,607.5780166837309,506.5780166837309,200,DOWN,2025-12-26
SKU0022,south,101,130.24405859545672,202.0217133579916,71.77765476253487,3,390.73217578637014,215.3329642876046,606.0651400739747,505.0651400739747,200,DOWN,2025-12-26
SKU0022,south,101,128.89049802814736,201.08643113017075,72.19593310202339,3,386.6714940844421,216.58779930607017,603.2592933905123,502.2592933905123,200,DOWN,2025-12-26
SKU0024,north,267,110.79740908396236,141.07476790099065,30.277358817028286,2,221.59481816792473,60.55471763405657,282.1495358019813,500.0,500,DOWN,2025-12-26
SKU0024,south,100,110.79740908396236,141.07476790099065,30.277358817028286,2,221.59481816792473,60.55471763405657,282.1495358019813,500.0,500,DOWN,2025-12-26
SKU0024,east,253,110.79740908396236,141.07476790099065,30.277358817028286,2,221.59481816792473,60.55471763405657,282.1495358019813,500.0,500,DOWN,2025-12-26
SKU0024,north,267,134.75107661334016,165.02339419086786,30.2723175775277,2,269.5021532266803,60.5446351550554,330.0467883817357,500.0,500,DOWN,2025-12-26
SKU0024,south,100,134.75107661334016,165.02339419086786,30.2723175775277,2,269.5021532266803,60.5446351550554,330.0467883817357,500.0,500,DOWN,2025-12-26
SKU0024,east,253,134.75107661334016,165.02339419086786,30.2723175775277,2,269.5021532266803,60.5446351550554,330.0467883817357,500.0,500,DOWN,2025-12-26
SKU0024,north,267,116.09816666793806,146.36600967637125,30.26784300843319,2,232.19633333587612,60.53568601686638,292.7320193527425,500.0,500,DOWN,2025-12-26
SKU0024,south,100,116.09816666793806,146.36600967637125,30.26784300843319,2,232.19633333587612,60.53568601686638,292.7320193527425,500.0,500,DOWN,2025-12-26
SKU0024,east,253,116.09816666793806,146.36600967637125,30.26784300843319,2,232.19633333587612,60.53568601686638,292.7320193527425,500.0,500,DOWN,2025-12-26
SKU0024,north,267,131.08462652465064,161.3484979773189,30.26387145266827,2,262.1692530493013,60.52774290533654,322.6969959546378,500.0,500,DOWN,2025-12-26
SKU0024,south,100,131.08462652465064,161.3484979773189,30.26387145266827,2,262.1692530493013,60.52774290533654,322.6969959546378,500.0,500,DOWN,2025-12-26
SKU0024,east,253,131.08462652465064,161.3484979773189,30.26387145266827,2,262.1692530493013,60.52774290533654,322.6969959546378,500.0,500,DOWN,2025-12-26
SKU0024,north,267,132.4633634116107,162.72370985853937,30.26034644692868,2,264.9267268232214,60.52069289385736,325.44741971707873,500.0,500,DOWN,2025-12-26
SKU0024,south,100,132.4633634116107,162.72370985853937,30.26034644692868,2,264.9267268232214,60.52069289385736,325.44741971707873,500.0,500,DOWN,2025-12-26
SKU0024,east,253,132.4633634116107,162.72370985853937,30.26034644692868,2,264.9267268232214,60.52069289385736,325.44741971707873,500.0,500,DOWN,2025-12-26
SKU0024,north,267,150.06851190579223,180.3257297540452,30.257217848252964,2,300.13702381158447,60.51443569650593,360.6514595080904,500.0,500,DOWN,2025-12-26
SKU0024,south,100,150.06851190579223,180.3257297540452,30.257217848252964,2,300.13702381158447,60.51443569650593,360.6514595080904,500.0,500,DOWN,2025-12-26
SKU0024,east,253,150.06851190579223,180.3257297540452,30.257217848252964,2,300.13702381158447,60.51443569650593,360.6514595080904,500.0,500,DOWN,2025-12-26
SKU0024,north,267,133.75281200440958,164.00725313467186,30.25444113026228,2,267.50562400881915,60.50888226052456,328.0145062693437,500.0,500,DOWN,2025-12-26
SKU0024,south,100,133.75281200440958,164.00725313467186,30.25444113026228,2,267.50562400881915,60.50888226052456,328.0145062693437,500.0,500,DOWN,2025-12-26
