order_date,sku_id,region,channel,quantity,payment_type
2024-08-01,TS-BLK-S,Delhi NCR,Marketplace,1,COD
2024-08-01,TS-BLK-S,Mumbai,Website,2,Prepaid
2024-08-01,TS-BLK-S,Mumbai,Marketplace,1,COD
2024-08-01,TS-BLK-S,Mumbai,Website,2,COD
2024-08-01,TS-BLK-S,Mumbai,Website,2,COD
2024-08-01,TS-BLK-S,Bangalore,Website,1,COD
2024-08-01,TS-BLK-S,Bangalore,Marketplace,1,Prepaid
2024-08-01,TS-BLK-S,Bangalore,Website,1,COD
2024-08-01,TS-BLK-M,Delhi NCR,Website,2,Prepaid
2024-08-01,TS-BLK-M,Delhi NCR,Marketplace,2,COD
2024-08-01,TS-BLK-M,Mumbai,Website,2,COD
2024-08-01,TS-BLK-M,Mumbai,Marketplace,1,COD
2024-08-01,TS-BLK-M,Mumbai,Website,1,Prepaid
2024-08-01,TS-BLK-M,Mumbai,Marketplace,2,Prepaid
2024-08-01,TS-BLK-M,Mumbai,Website,2,Prepaid
2024-08-01,TS-BLK-M,Bangalore,Marketplace,1,COD
2024-08-01,TS-BLK-M,Bangalore,Marketplace,2,COD
2024-08-01,TS-BLK-M,Bangalore,Website,1,Prepaid
2024-08-01,TS-BLK-M,Bangalore,Marketplace,1,Prepaid
2024-08-01,TS-BLK-L,Delhi NCR,Website,1,COD
2024-08-01,TS-BLK-L,Delhi NCR,Website,1,Prepaid
2024-08-01,TS-BLK-L,Delhi NCR,Website,1,COD
2024-08-01,TS-BLK-L,Delhi NCR,Website,2,COD
2024-08-01,TS-BLK-L,Delhi NCR,Website,2,COD
2024-08-01,TS-BLK-L,Mumbai,Website,2,COD
2024-08-01,TS-BLK-L,Mumbai,Marketplace,2,COD
2024-08-01,TS-BLK-L,Mumbai,Website,1,Prepaid
2024-08-01,TS-BLK-L,Mumbai,Website,1,COD
2024-08-01,TS-BLK-L,Bangalore,Website,1,COD
2024-08-01,TS-BLK-L,Bangalore,Website,2,Prepaid
2024-08-01,TS-BLK-L,Bangalore,Website,2,COD
2024-08-01,TS-BLK-L,Bangalore,Marketplace,1,Prepaid
2024-08-01,TS-WHT-M,Delhi NCR,Website,1,COD
2024-08-01,TS-WHT-M,Delhi NCR,Marketplace,1,COD
2024-08-01,TS-WHT-M,Delhi NCR,Website,1,Prepaid
2024-08-01,TS-WHT-M,Delhi NCR,Marketplace,2,COD
2024-08-01,TS-WHT-M,Delhi NCR,Marketplace,2,COD
2024-08-01,TS-WHT-M,Mumbai,Marketplace,2,Prepaid
2024-08-01,TS-WHT-M,Mumbai,Marketplace,2,Prepaid
2024-08-01,TS-WHT-M,Mumbai,Marketplace,1,Prepaid
2024-08-01,TS-WHT-M,Bangalore,Website,1,COD
2024-08-01,TS-WHT-M,Bangalore,Website,2,Prepaid
2024-08-01,TS-WHT-M,Bangalore,Marketplace,1,Prepaid
2024-08-01,TS-WHT-M,Bangalore,Website,1,COD
2024-08-01,TS-WHT-M,Bangalore,Marketplace,1,Prepaid
2024-08-01,HD-BLK-M,Delhi NCR,Website,1,COD
2024-08-01,HD-BLK-M,Delhi NCR,Marketplace,2,Prepaid
2024-08-01,HD-BLK-M,Delhi NCR,Website,2,COD
2024-08-01,HD-BLK-M,Delhi NCR,Marketplace,2,COD
2024-08-01,HD-BLK-M,Delhi NCR,Marketplace,2,COD
